model,f1,precision,recall,accuracy
NaiveBias,0.636497411871252,0.6464717243412977,0.6383217476139563,0.639075
LogisticRgression,0.6861191337795085,0.6884919752907978,0.6850923844669823,0.685175
SVC,0.6841488482083938,0.6859092247614162,0.6833031353313391,0.683425
LSTM,0.6960540144887436,0.7007473602586366,0.694566734323506,0.694595
GRU,0.6882808581776958,0.6928242883524393,0.6867835252918217,0.68675
